api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
MoviesDatabase,/actors/{id},Can you provide information on Emma Watson?,natural,natural,natural
Transportistas de Argentina,/cities/search/:stateIsoCode/:keyword,Busca la ciudad de Caballito en la provincia de Buenos Aires.,natural,natural,natural
GamerPower,All live giveaways,What are the latest gaming loot giveaways available?,natural,natural,natural
ExerciseDB,Exercise by ID,Could you fetch the data for the pull-up exercise?,natural,unnatural,unnatural
webcams.travel,"/webcams/map/{ne_lat},{ne_lng},{sw_lat},{sw_lng},{zoom}",Can you display webcams in Moscow with a zoom level of 12 in Russian?,natural,unnatural,unnatural
Candlestick Chart,Binance charts,I need a candlestick chart for Bitcoin against Tether.,natural,natural,natural
India Pincode with Latitude and Longitude,NearbyareasByLatLng,Find the nearby areas for latitude 23.0225 and longitude 72.5714.,unnatural,unnatural,unnatural
Forecast,RapidApiGetForecastSummaryByCoordinates,Give me the 16-day weather forecast for Cape Town.,natural,natural,natural
TrackingMore_v2,carriers/list,Show me all the couriers that are supported for tracking.,natural,unnatural,natural
India Pincode with Latitude and Longitude,NearbyareasByLatLng,What are the pincodes around latitude 15.2993 and longitude 74.1240?,unnatural,unnatural,unnatural
Google Web Search,Search,Find information about the benefits of meditation.,natural,natural,natural
GamerPower,Filter & Group Giveaways,Can you list the current loot giveaways for Steam?,natural,natural,natural
Mobile Phone Specs Database,Get {Specifications} by {Custom id},Tell me about the features of the OnePlus 9 Pro.,natural,natural,natural
GamerPower,Filter & Group Giveaways,Find me giveaways for games on Epic Games Store.,natural,natural,natural
Forecast,RapidApiGetObservationHistoryByStationId,Show the historical weather data for the London Eye station for the last 12 hours.,natural,natural,natural
TrackingMore_v2,carriers/list,Can you show me all the couriers you support?,natural,natural,natural
Find any IP address or Domain Location world wide,IP location by IPv6 IP Address,Could you provide the geo information for the IPv6 address 2404:6800:4003:c02::8a?,natural,unnatural,unnatural
Tasty,recipes/get-more-info,I need additional information on the lasagna recipe.,natural,natural,natural
Forecast,RapidApiGetHourlyForecastByLocationName,I'd like to see the weather forecast for Moscow.,natural,natural,natural
Quality Porn,Pornstar list by alphabetical letter,I need the list of pornstars beginning with the letter F.,natural,natural,natural
Extract News,Article,Can you pull data from the article discussing Bill Gates and 5G?,natural,unnatural,natural
Tasty,recipes/list-similarities,I love the beef stew recipe. Do you have any similar ones?,natural,natural,natural
Candlestick Chart,Health,Can you ensure the candlestick chart API is working as expected?,unnatural,unnatural,unnatural
Domainr,/v2/register,Can you help me register the domain greenearth.net?,natural,natural,natural
unogsNG,Images,Show me the images for 'Breaking Bad'.,natural,natural,natural
TrackingMore_v2,packages/v2/track,Can you track the package with number NY323068698GB?,natural,natural,natural
SolarEnergyPrediction,/v2.0/solar/prediction,I need a solar power prediction for a system in Munich with a 30-degree declination and a 5000 Watt inverter.,natural,natural,unnatural
Newscatcher,/v1/aggregation,"Find the daily count of articles about music in German, excluding Spotify.",unnatural,natural,unnatural
Live Metal Prices,Latest In chosen currency,What’s the latest price for platinum in Japanese yen?,natural,natural,natural
Taobao Tmall 1688,Item detail,Could you fetch the information for item 456789123 on 1688?,unnatural,unnatural,unnatural
Newscatcher,/v1/search_enterprise,"Find articles about travel in Italy from last month, excluding articles from CNN.",natural,natural,natural
Transportistas de Argentina,/quotes/city/correo_argentino/:weight/:stateIsoCodeSrc/:normalizeCityNameSrc/:stateIsoCodeDst/:normalizeCityNameDst,¿Cuánto cuesta enviar un paquete de 5 kg desde Buenos Aires a Córdoba?,natural,natural,natural
webcams.travel,"/webcams/list/region={region}[,{region}[,...]]","What webcams are available in Île-de-France, France?",natural,natural,natural
TweetFeed,v1,Can you show me the MD5 hashes associated with ransomware over the past year?,natural,natural,natural
Transportistas de Argentina,/cities/states,¿Me puedes mostrar los estados de Argentina y sus códigos ISO?,natural,natural,natural
Taobao Tmall 1688,get item form url or share text,I’d like to see the details for this item: 【女童连衣裙夏2020夏纯棉绣花长袖长款连衣裙公主裙中小童连衣裙】复制￥fHK56aP20luan￥，打开【手机阿里】或【支付宝-点首页进行搜索】查看：https://qr.1688.com/share.html?secret=vOdX4Ah3.,natural,unnatural,unnatural
MoviesDatabase,/titles/seasons/{seriesId},I want to see the seasons for the series identified by tt0413573.,unnatural,unnatural,unnatural
TikTok Downloader - Download TikTok Videos without watermark,video without watermark ( mp4 & mp3 & cover ),Could you get me the mp3 of this TikTok? https://www.tiktok.com/@musiclover/video/5566778899,natural,natural,natural
Quality Porn,Supported sites,What are the supported platforms for searching pornstars and videos?,natural,unnatural,natural
TikTok Downloader - Download TikTok Videos without watermark,"video without watermark [mp4,mp3,cover,desc,region,wt]",I want to save this TikTok video without the watermark.,natural,natural,natural
MoviesDatabase,/actors/{id},I need the profile of Leonardo DiCaprio.,natural,natural,natural
Quality Porn,Top 10 search queries,Can you list the top 10 trending searches?,natural,natural,natural
MoviesDatabase,/titles/episode/{id},I’d like the base info for the episode with IMDb ID tt0123456.,unnatural,unnatural,unnatural
MoviesDatabase,/titles,List the most popular movies from 2016 to 2020 with base information.,natural,unnatural,unnatural
TweetFeed,v1,Can you list the domains flagged by @malwrhunterteam this month?,natural,natural,natural
MoviesDatabase,/titles/utils/titleTypes,I need to know the different types of titles available in the MoviesDatabase.,natural,unnatural,unnatural
MoviesDatabase,/titles/episode/{id},Get me the image for the episode with IMDb ID tt6789012.,unnatural,unnatural,unnatural
Cricket Live Data,Fixtures By Date,"What cricket matches are scheduled for October 5, 2023?",natural,natural,natural
Mobile Phone Specs Database,Get {Specifications} by {Brand Name} and {Model Name},Can you tell me the features of the Samsung Galaxy S21?,natural,natural,natural
Latest Stock Price,price,What is the current stock price for the Nifty 50 index?,natural,natural,natural
MoviesDatabase,/titles/episode/{id},What’s the base information for the episode with IMDb ID tt7890123?,unnatural,unnatural,unnatural
Lingua Robot,Entry,What is the definition of 'cogent'?,natural,natural,natural
unogsNG,Images,Please retrieve the images for 'Ozark'.,natural,unnatural,unnatural
GamerPower,Sort live giveaways,Show me the most sought-after free games.,natural,natural,natural
unogsNG,Title Countries,Where is Black Mirror available on Netflix?,natural,natural,natural
Quality Porn,Supported sites,Show me the list of sites that offer free porn videos with different filters.,natural,natural,natural
webcams.travel,"/webcams/map/{ne_lat},{ne_lng},{sw_lat},{sw_lng},{zoom}",I want to see webcams in San Francisco with a zoom level of 13.,unnatural,unnatural,unnatural
TrackingMore_v2,carriers/list,Can you give me a list of all the carriers you track?,natural,natural,natural
Omniinfer,Get Models,Show me the models that support ControlNet.,natural,natural,natural
Mobile Phone Specs Database,Get {Specifications} by {Custom id},Can you provide the details for the Samsung Galaxy S21?,natural,natural,natural
Football Prediction,Away Team League Stats,Can you show me the league table and stats for the away team in the match with ID 86397?,unnatural,unnatural,unnatural
MyMemory - Translation Memory,search translations,Translate 'Congratulations' from Chinese to Japanese using my private key and include machine translation.,unnatural,unnatural,unnatural
NLP Translation,Translate,Translate 'Good morning' to French.,natural,natural,natural
ExerciseDB,List by name,Can you provide information on the lunges exercise?,natural,natural,natural
SolarEnergyPrediction,/v2.0/solar/estimation,Estimate the solar energy production for a 22 kWp installation in Denver facing north.,natural,natural,unnatural
Horse Racing,Horse Stats,I need the racing history for the horse called Mountain King.,natural,natural,natural
MoviesDatabase,/titles/{id}/main_actors,Can you tell me the cast of the film identified by tt2345678?,unnatural,unnatural,unnatural
Tasty,recipes/list,Show me the oldest approved recipes.,natural,natural,natural
India Pincode with Latitude and Longitude,DistanceBetweenTwoPincodes,Find the distance in kilometers between pincode 500001 and 500002.,natural,unnatural,unnatural
ExerciseDB,List of equipment,Show me the list of available gym equipment.,natural,natural,natural
Transportistas de Argentina,/cities/states/:stateIsoCode,Quiero saber las localidades de Mendoza.,natural,natural,natural
MoviesDatabase,/titles/{id},Could you fetch the base information for the series identified by tt0000006?,unnatural,unnatural,unnatural
