index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you provide details for the seller with ID AD97MR4NOW5CD on the Amazon US site?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,What information is available for seller ID AD97MR4NOW5CD on Amazon?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller details for ID AD97MR4NOW5CD on the Amazon US domain.,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get the seller information for ID AD97MR4NOW5CD on Amazon.com.,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you find the seller details for ID AD97MR4NOW5CD on the US Amazon site?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Retrieve the seller information for ID AD97MR4NOW5CD on Amazon US.,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,What are the details for seller ID AD97MR4NOW5CD on Amazon.com?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller with ID AD97MR4NOW5CD on the Amazon US website.,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you provide the seller details for ID AD97MR4NOW5CD on Amazon US?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find the seller information for ID AD97MR4NOW5CD on the Amazon US domain.,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
2,car code,/obd2/{code},What does the OBD-II code P0300 mean?,{'code': 'P0300'},,,,,,,
2,car code,/obd2/{code},Can you explain the meaning of the car trouble code P0171?,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},I need the description for the DTC code P0420.,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},What is the issue indicated by the OBD-II code P0128?,{'code': 'P0128'},,,,,,,
2,car code,/obd2/{code},Please provide the human-readable explanation for the code P0455.,{'code': 'P0455'},,,,,,,
