api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
Workable,/candidates,"Submit a new candidate, Emily Davis, for the job with shortcode 1415 using my API key QRS7890.",unnatural,unnatural,unnatural
Tasty,feeds/list,"List 5 new recipes from the Tasty feed, starting from the 5th item, in the GMT+0100 timezone.",unnatural,unnatural,unnatural
Workout Planner,Get Customized Plan,Create a 25-minute advanced workout plan for general fitness focusing on abs using a stability ball.,natural,natural,unnatural
unogsNG,Title Details,Give me the specifics for the Netflix title with ID 70021644.,unnatural,unnatural,unnatural
webcams.travel,"/webcams/list/continent={continent}[,{continent}[,...]]",What webcams are available in South America?,unnatural,natural,natural
Tasty,recipes/list-similarities,What are some recipes similar to the recipe with ID 5678?,unnatural,unnatural,unnatural
Cricket Live Data,Results,What were the results of the latest cricket series?,natural,natural,natural
Quality Porn,Docs,Find me some porn videos with the best reviews.,natural,natural,natural
TikTok Downloader - Download TikTok Videos without watermark,"video without watermark [mp4,mp3,cover,desc,region,wt]",I want to download the TikTok video from https://vm.tiktok.com/ZMFnohMVX/ for the region without a watermark.,natural,unnatural,natural
Football Prediction,Home Team League Stats,What are the league stats for the home team in the match identified by ID 67890?,unnatural,unnatural,unnatural
MoviesDatabase,/titles/{id}/crew,Who were the crew members for the film with IMDb ID tt0110912?,unnatural,unnatural,unnatural
Newscatcher,/v1/aggregation,Search for political news excluding CNN.,natural,natural,natural
Microsoft Authenticator,enroll,Please generate a QR code with the secret IH225HMVWDS3XJVY for my HomeCorp account.,unnatural,unnatural,unnatural
Football Prediction,Away Team Last 10 Matches,Show me the last 10 games played by the away team with ID 98765.,unnatural,unnatural,unnatural
ExerciseDB,List by target muscle,List exercises that focus on the quadriceps.,natural,natural,natural
Cricket Live Data,Fixtures,What are the next 50 cricket matches scheduled?,natural,natural,natural
unogsNG,Expiring,What are the expiring titles on Netflix in South Korea?,natural,natural,natural
Tasty,recipes/list,List 20 recipes that can be made in under 30 minutes.,natural,natural,unnatural
Transportistas de Argentina,/tracking/correo_argentino/result_task/:task_id,I want to know the outcome of task ID 54321.,unnatural,unnatural,unnatural
Newscatcher,/v1/search,Find top-ranked articles on global warming.,natural,natural,natural
Newscatcher,/v1/search_free,Search for articles on renewable energy in Spanish.,natural,natural,natural
webcams.travel,"/webcams/list/exclude={webcamid}[,{webcamid}[,...]]",Exclude webcam ID 99001 and display the categories in German.,unnatural,unnatural,unnatural
ExerciseDB,List by target muscle,I need exercises for my hamstrings. Can you help?,natural,natural,natural
Horse Racing,Race detail info,Please give me the jockeys' information for the race with ID 207660.,unnatural,unnatural,unnatural
Find any IP address or Domain Location world wide,IP location by domain name,Look up the location information for the IP 8.8.8.8 using my API key.,unnatural,unnatural,unnatural
ExerciseDB,List of bodyparts,Which body parts can I find exercises for in your database?,unnatural,unnatural,natural
Cricket Live Data,Results By Date,"Please provide the cricket match results for November 11, 2019.",natural,natural,natural
Transportistas de Argentina,/cities/states,Please provide the ISO codes for each state in Argentina.,natural,unnatural,unnatural
Latest Stock Price,prices,Provide the current stock price for Netflix on the NASDAQ.,natural,unnatural,natural
NLP Translation,Translate,Translate 'See you later' to Russian.,natural,natural,natural
ExerciseDB,List of equipment,Show me the equipment I can use for my fitness routine.,natural,natural,natural
webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Can you show me the regions for the webcam with ID 77889?,unnatural,unnatural,unnatural
MoviesDatabase,/titles/series/{seriesId}/{season},Please provide the details for season 8 of the series with IMDb ID tt0944947.,unnatural,unnatural,unnatural
Quality Porn,Pornstar search,Search for details on the pornstar Mia Malkova.,natural,natural,natural
ExerciseDB,List of equipment,What equipment can I use for my workouts?,unnatural,natural,natural
webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",List the categories for the webcam with ID 33445.,unnatural,unnatural,unnatural
Pen to Print - Handwriting OCR,recognize,Extract text from this image without including split line images.,natural,unnatural,unnatural
Quality Porn,Pornstar by name,I need the base64 profile image of Abella Danger.,unnatural,unnatural,unnatural
GamerPower,All live giveaways,List all the live giveaways for free games.,natural,natural,natural
ExerciseDB,List by body part,Find exercises that work the arms.,natural,natural,natural
Find any IP address or Domain Location world wide,IP location by domain name,Find the location details for the domain google.com using my API key.,unnatural,unnatural,unnatural
MoviesDatabase,/titles/random,Show me a random most popular movie.,natural,unnatural,natural
MoviesDatabase,/titles/search/keyword/{keyword},Find TV episodes with the keyword 'thriller' from 2019.,natural,natural,natural
Pen to Print - Handwriting OCR,recognize,I need the text from this image for billing session XYZ-9876.,unnatural,unnatural,unnatural
TrackingMore_v2,carriers/detect,What is the carrier for the shipment with tracking number 998877665544?,natural,unnatural,unnatural
Mobile Phone Specs Database,Get {Image} by {Phone Image id},Show me the mobile phone image for the ID Z2RjOG80Smk2WVV2R0wwR1F1RjRNZG5TR1ZqUUZuU1JhU1pNT0FjNG94UT0=.,unnatural,unnatural,unnatural
Football Prediction,List available federations,What are the available federations in the football prediction API?,unnatural,unnatural,unnatural
Google Translate,Tranlate Text,Translate '안녕하세요' from Korean to English.,natural,natural,natural
Mobile Phone Specs Database,Get {Specifications} by {Custom id},Please give me the specifications for the phone with custom ID 405678.,unnatural,unnatural,unnatural
Live Metal Prices,Latest Selected Metals in Selected Currency In Grams,"Get me the current prices for Gold, Silver, and Palladium in CAD per gram.",natural,natural,natural
Quality Porn,Supported sites,Give me a rundown of all the porn sites and their video quality options.,natural,natural,natural
Quality Porn,Docs,Can you find some free porn videos with high ratings?,natural,natural,natural
Sentiment Analysis,Analyze (post),Please find out the sentiment of this statement: 'The movie was a complete waste of time.',natural,unnatural,natural
Cricket Live Data,Fixtures By Date,"What cricket matches are scheduled for October 15, 2023?",natural,natural,natural
Football Prediction,Head To Head,Show me the head to head stats for the match with ID 81930.,unnatural,unnatural,unnatural
Forecast,RapidApiGetHourlyForecastByLocationName,What's the 16-day weather forecast for Los Angeles?,natural,natural,natural
TikTok Downloader - Download TikTok Videos without watermark,video without watermark ( mp4 & mp3 & cover ),Please download the TikTok video at https://www.tiktok.com/@funnyclips/video/7056789012345678901 without the watermark.,natural,natural,natural
GamerPower,Live giveaways by platform & type & sorted,Find all the current giveaways for Xbox sorted by date.,natural,natural,natural
MoviesDatabase,/titles/{id}/crew,Get me the crew list for the title with IMDb ID tt0133093.,unnatural,unnatural,unnatural
Ebay Search Result,Search on ebay,Find collectible coins on eBay.,natural,natural,natural
Ebay Search Result,Search on ebay,Search for home workout equipment on eBay.,natural,natural,natural
unogsNG,Title Countries,Can you tell me the countries that have the Netflix show with ID 70234439?,unnatural,unnatural,unnatural
Horse Racing,Query horses,Can you find information on the horse named Zanahiyr?,natural,natural,natural
Transportistas de Argentina,/tracking/correo_argentino/result_task/:task_id,What is the status of the shipment with task ID ABC123?,unnatural,unnatural,unnatural
unogsNG,Deleted,"Find the first 5 titles removed from Netflix in Japan after April 1, 2022.",natural,unnatural,natural
Extract News,Article,I need structured data from the blog at https://techcrunch.com/2021/05/04/apple-event-2021/,natural,unnatural,unnatural
webcams.travel,"/webcams/list/country={country}[,{country}[,...]]",What are the properties of webcams in Switzerland?,unnatural,unnatural,natural
