index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you provide the seller details for seller ID AD97MR4NOW5CD on the Amazon US site?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Lookup the seller information for seller ID B07XYZ1234 on the Amazon UK domain.,"{'sellerId': 'B07XYZ1234', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Show me the details of the seller with ID A1B2C3D4E5 on Amazon Germany.,"{'sellerId': 'A1B2C3D4E5', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find seller information for seller ID ZYXWVUT987 on the Amazon Canada website.,"{'sellerId': 'ZYXWVUT987', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get details for the seller with ID 12345ABCDE on Amazon Japan.,"{'sellerId': '12345ABCDE', 'domainCode': 'co.jp'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Retrieve seller info for seller ID LMNOP67890 on the Amazon France domain.,"{'sellerId': 'LMNOP67890', 'domainCode': 'fr'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Lookup seller details for seller ID QWERTY12345 on Amazon Italy.,"{'sellerId': 'QWERTY12345', 'domainCode': 'it'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you find the seller information for seller ID 9Z8Y7X6W5V on Amazon Spain?,"{'sellerId': '9Z8Y7X6W5V', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Show me the seller details for seller ID 555AAA999 on Amazon Australia.,"{'sellerId': '555AAA999', 'domainCode': 'com.au'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get the seller information for seller ID XYZ1234567 on the Amazon Mexico site.,"{'sellerId': 'XYZ1234567', 'domainCode': 'com.mx'}",,,,,,,
2,car code,/obd2/{code},What does the OBD2 code P0420 mean?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},Explain the trouble code P0301 for my car.,{'code': 'P0301'},,,,,,,
2,car code,/obd2/{code},Can you tell me the meaning of the diagnostic code P0171?,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},"I have a check engine light with code P0455, what does it indicate?",{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},Decode the OBD2 trouble code P0135 for me.,{'code': 'P0135'},,,,,,,
2,car code,/obd2/{code},What is the human readable description for code P0700?,{'code': 'P0700'},,,,,,,
