llm_as_judge,api,api_method,utterance,evaluation
gpt-4.1,unogsNG,Genres,Can you show me all the genres available on Netflix?,natural
gpt-4.1,unogsNG,Genres,What are the different genres I can explore on Netflix?,natural
gpt-4.1,unogsNG,Genres,List all the Netflix genres for me.,natural
gpt-4.1,unogsNG,Genres,I'm curious about the genres on Netflix. Can you provide a list?,natural
gpt-4.1,unogsNG,Genres,Could you give me a rundown of all the genres on Netflix?,natural
gpt-4.1,unogsNG,Genres,What genres does Netflix offer?,natural
gpt-4.1,unogsNG,Genres,Please provide a list of Netflix genres.,natural
gpt-4.1,unogsNG,Genres,I'd like to know all the genres available on Netflix.,natural
gpt-4.1,unogsNG,Genres,Can you tell me about the different genres on Netflix?,natural
gpt-4.1,unogsNG,Genres,Show me the list of genres on Netflix.,natural
gpt-4.1,unogsNG,Countries,Can you show me all the countries where Netflix is available?,natural
gpt-4.1,unogsNG,Countries,List all the countries that have access to Netflix.,natural
gpt-4.1,unogsNG,Countries,Which countries can stream Netflix?,natural
gpt-4.1,unogsNG,Countries,I want to know the countries where Netflix is operational.,natural
gpt-4.1,unogsNG,Countries,Provide a list of countries that support Netflix streaming.,unnatural
gpt-4.1,unogsNG,Countries,Could you tell me which countries have Netflix?,natural
gpt-4.1,unogsNG,Countries,What are the countries with Netflix availability?,unnatural
gpt-4.1,unogsNG,Countries,Give me a list of all Netflix-supported countries.,natural
gpt-4.1,unogsNG,Countries,Where is Netflix accessible around the world?,natural
gpt-4.1,unogsNG,Countries,Show me the countries that have Netflix service.,natural
gpt-4.1,unogsNG,Images,Show me all the images for the Netflix series 'Stranger Things'.,natural
gpt-4.1,unogsNG,Images,Can you get the images for the movie 'The Irishman' on Netflix?,natural
gpt-4.1,unogsNG,Images,I want to see the first 5 images for 'The Crown' on Netflix.,natural
gpt-4.1,unogsNG,Images,Fetch images for the Netflix documentary 'Our Planet'.,unnatural
gpt-4.1,unogsNG,Images,Retrieve up to 10 images for 'Black Mirror' on Netflix.,unnatural
gpt-4.1,unogsNG,Images,Get images for the Netflix film 'Bird Box'.,natural
gpt-4.1,unogsNG,Images,"I'd like to see images for 'Narcos' on Netflix, but limit it to 3.",natural
gpt-4.1,unogsNG,Images,Can you show me images for the Netflix show 'The Witcher'?,natural
gpt-4.1,unogsNG,Images,"Please provide images for 'Money Heist' on Netflix, with a maximum of 7.",unnatural
gpt-4.1,unogsNG,Images,Find all images for the Netflix series 'Ozark'.,natural
gpt-4.1,unogsNG,Title Countries,Which countries have the movie 'The Irishman' available on Netflix?,natural
gpt-4.1,unogsNG,Title Countries,Can you tell me all the countries where 'Stranger Things' is available on Netflix?,natural
gpt-4.1,unogsNG,Title Countries,I want to know the countries that stream 'Breaking Bad' on Netflix.,natural
gpt-4.1,unogsNG,Title Countries,List all the countries where 'The Crown' is available on Netflix.,natural
gpt-4.1,unogsNG,Title Countries,Where can I watch 'Money Heist' on Netflix around the world?,natural
gpt-4.1,unogsNG,Title Countries,Find out which countries have 'Narcos' available on Netflix.,natural
gpt-4.1,unogsNG,Title Countries,Is 'Black Mirror' available on Netflix in other countries?,natural
gpt-4.1,unogsNG,Title Countries,Could you check the countries where 'The Witcher' is available on Netflix?,natural
gpt-4.1,unogsNG,Title Countries,Tell me the countries that have 'BoJack Horseman' on Netflix.,natural
gpt-4.1,unogsNG,Title Countries,In which countries can I find 'The Queen's Gambit' on Netflix?,natural
gpt-4.1,unogsNG,Title Genres,What genres are available for the Netflix show 'Stranger Things'?,natural
gpt-4.1,unogsNG,Title Genres,Can you tell me the genres for the movie 'The Irishman' on Netflix?,natural
gpt-4.1,unogsNG,Title Genres,I'd like to know the genres of the Netflix series 'The Crown'.,natural
gpt-4.1,unogsNG,Title Genres,What are the genres for 'Black Mirror' on Netflix?,natural
gpt-4.1,unogsNG,Title Genres,Could you list the genres for the Netflix film 'Bird Box'?,natural
gpt-4.1,unogsNG,Title Genres,Find out the genres for 'Money Heist' on Netflix.,natural
gpt-4.1,unogsNG,Title Genres,What genres does the Netflix documentary 'Our Planet' belong to?,natural
gpt-4.1,unogsNG,Title Genres,Tell me the genres for the Netflix movie 'Roma'.,natural
gpt-4.1,unogsNG,Title Genres,I'd like to know the genres of 'The Witcher' on Netflix.,natural
gpt-4.1,unogsNG,Title Genres,What are the genres for the Netflix series 'Narcos'?,natural
gpt-4.1,unogsNG,Title Details,Can you give me details about the Netflix title with ID 81043135?,unnatural
gpt-4.1,unogsNG,Title Details,I want to know more about the movie with IMDB ID tt1234567.,unnatural
gpt-4.1,unogsNG,Title Details,Tell me about the Netflix show with the ID 70143836.,unnatural
gpt-4.1,unogsNG,Title Details,Could you provide information on the film with IMDB ID tt7654321?,unnatural
gpt-4.1,unogsNG,Title Details,What can you tell me about the series with Netflix ID 70242311?,unnatural
gpt-4.1,unogsNG,Title Details,I'd like to get details on the title with IMDB ID tt9876543.,unnatural
gpt-4.1,unogsNG,Title Details,Can you find information on the Netflix movie with ID 70301870?,unnatural
gpt-4.1,unogsNG,Title Details,Please give me the details of the show with IMDB ID tt1122334.,unnatural
gpt-4.1,unogsNG,Title Details,I need information about the Netflix title with ID 80057281.,unnatural
gpt-4.1,unogsNG,Title Details,What details are available for the movie with IMDB ID tt9988776?,unnatural
gpt-4.1,unogsNG,Expiring,Show me the Netflix titles that are expiring soon in the US and Canada.,natural
gpt-4.1,unogsNG,Expiring,What are the expiring Netflix shows in the UK?,natural
gpt-4.1,unogsNG,Expiring,"List the expiring movies on Netflix in Australia and New Zealand, but only show me the top 10.",natural
gpt-4.1,unogsNG,Expiring,Can you tell me which Netflix titles are about to expire in Japan?,natural
gpt-4.1,unogsNG,Expiring,I want to know the expiring content on Netflix in Germany and France.,natural
gpt-4.1,unogsNG,Expiring,"Give me a list of expiring Netflix titles in India, limited to 5 items.",unnatural
gpt-4.1,unogsNG,Expiring,What are the expiring titles on Netflix in Brazil?,natural
