index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you find the seller details for the seller with ID A1BC23DE45FG67 on the Amazon UK website?,"{'sellerId': 'A1BC23DE45FG67', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I need information about the seller whose ID is XYZ123ABC456 on Amazon Germany.,"{'sellerId': 'XYZ123ABC456', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller details for ID MNO789PQR012 on Amazon Canada.,"{'sellerId': 'MNO789PQR012', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Could you provide the seller information for ID DEF456GHI789 on Amazon France?,"{'sellerId': 'DEF456GHI789', 'domainCode': 'fr'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find out more about the seller with ID JKL012MNO345 on Amazon Italy.,"{'sellerId': 'JKL012MNO345', 'domainCode': 'it'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I’m looking for the seller details of ID PQR678STU901 on Amazon Spain.,"{'sellerId': 'PQR678STU901', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you retrieve the seller information for ID UVW234XYZ567 on Amazon Japan?,"{'sellerId': 'UVW234XYZ567', 'domainCode': 'co.jp'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Please get the seller details for ID ABC890DEF123 on Amazon India.,"{'sellerId': 'ABC890DEF123', 'domainCode': 'in'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I need to know more about the seller with ID GHI456JKL789 on Amazon Australia.,"{'sellerId': 'GHI456JKL789', 'domainCode': 'com.au'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Could you look up the seller information for ID STU012VWX345 on Amazon Brazil?,"{'sellerId': 'STU012VWX345', 'domainCode': 'com.br'}",,,,,,,
2,car code,/obd2/{code},Can you tell me what the DTC code P0300 means for my car?,{'code': 'P0300'},,,,,,,
2,car code,/obd2/{code},I need to understand the issue with my vehicle’s DTC code P0171.,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},What does the OBD-II code P0420 indicate about my car’s performance?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},Could you explain the meaning of the trouble code P0128 for my Honda Accord?,{'code': 'P0128'},,,,,,,
2,car code,/obd2/{code},My car’s dashboard is showing the DTC code P0442. Can you decode it for me?,{'code': 'P0442'},,,,,,,
2,car code,/obd2/{code},I’m trying to figure out what the OBD-II code P0700 means for my Toyota Camry.,{'code': 'P0700'},,,,,,,
2,car code,/obd2/{code},Please provide the human-readable description for the DTC code P0135.,{'code': 'P0135'},,,,,,,
2,car code,/obd2/{code},What’s the issue with my car if it’s showing the DTC code P0507?,{'code': 'P0507'},,,,,,,
2,car code,/obd2/{code},Can you decode the OBD-II trouble code P0455 for my Ford F-150?,{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},I need to know what the DTC code P0304 signifies for my vehicle.,{'code': 'P0304'},,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Can you check the number of COVID-19 cases in Japan for yesterday?,"{'country': 'Japan', 'date': '2023-10-04', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Find out how many COVID-19 deaths were reported in California last week.,"{'country': 'United States', 'region': 'California', 'date': '2023-09-27', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"I need the COVID-19 case count for Germany on October 1st, 2023.","{'country': 'Germany', 'date': '2023-10-01', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What were the COVID-19 deaths in New York County on September 30th?,"{'country': 'United States', 'region': 'New York', 'county': 'New York County', 'date': '2023-09-30', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Show me the COVID-19 cases in Brazil for the last day of September.,"{'country': 'Brazil', 'date': '2023-09-30', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Get the number of COVID-19 deaths in Texas on October 2nd, 2023.","{'country': 'United States', 'region': 'Texas', 'date': '2023-10-02', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Can you provide the COVID-19 case data for France on September 28th?,"{'country': 'France', 'date': '2023-09-28', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Tell me the COVID-19 deaths in Los Angeles County on October 3rd.,"{'country': 'United States', 'region': 'California', 'county': 'Los Angeles County', 'date': '2023-10-03', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What was the COVID-19 case count in Italy on September 29th?,"{'country': 'Italy', 'date': '2023-09-29', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Retrieve the COVID-19 death numbers for Florida on October 1st, 2023.","{'country': 'United States', 'region': 'Florida', 'date': '2023-10-01', 'type': 'deaths'}",,,,,,,
4,Cricket Live Data,Results By Date,"Can you show me the cricket match results from October 5, 2023?",{'date': '2023-10-05'},,,,,,,
4,Cricket Live Data,Results By Date,"I need the scores of all cricket games played on September 15, 2023.",{'date': '2023-09-15'},,,,,,,
4,Cricket Live Data,Results By Date,"What were the outcomes of the cricket matches on August 20, 2023?",{'date': '2023-08-20'},,,,,,,
4,Cricket Live Data,Results By Date,"Fetch the cricket results for July 4, 2023, please.",{'date': '2023-07-04'},,,,,,,
4,Cricket Live Data,Results By Date,"Could you check the cricket match results for November 11, 2023?",{'date': '2023-11-11'},,,,,,,
4,Cricket Live Data,Results By Date,"Tell me the cricket scores from December 25, 2023.",{'date': '2023-12-25'},,,,,,,
4,Cricket Live Data,Results By Date,"I’d like to see the cricket match results for January 1, 2024.",{'date': '2024-01-01'},,,,,,,
4,Cricket Live Data,Results By Date,"Provide the cricket game outcomes for February 14, 2024.",{'date': '2024-02-14'},,,,,,,
4,Cricket Live Data,Results By Date,"What happened in the cricket matches on March 8, 2024?",{'date': '2024-03-08'},,,,,,,
4,Cricket Live Data,Results By Date,"Give me the cricket results for April 22, 2024.",{'date': '2024-04-22'},,,,,,,
5,Dezgo,/text2image,"Can you create an image of a futuristic cityscape with flying cars and neon lights, using the euler_a sampler?","{'prompt': 'futuristic cityscape with flying cars and neon lights', 'sampler': 'euler_a'}",,,,,,,
5,Dezgo,/text2image,"I need a high-quality portrait of a medieval knight in full armor, with a detailed background of a castle. Make sure the image is 1024x768 pixels.","{'prompt': 'medieval knight in full armor with a detailed background of a castle', 'width': 1024, 'height': 768}",,,,,,,
5,Dezgo,/text2image,"Generate a serene landscape of a mountain lake at sunrise, with the water reflecting the sky. Use the deliberate model and set the guidance to 10.","{'prompt': 'serene landscape of a mountain lake at sunrise with the water reflecting the sky', 'model': 'deliberate', 'guidance': 10}",,,,,,,
5,Dezgo,/text2image,Could you make an image of a cyberpunk street market with vibrant colors and intricate details? Set the steps to 50 for more refinement.,"{'prompt': 'cyberpunk street market with vibrant colors and intricate details', 'steps': 50}",,,,,,,
5,Dezgo,/text2image,I want an image of a fantasy forest with glowing mushrooms and magical creatures. Use the anything_4_0 model and upscale it by a factor of 2.,"{'prompt': 'fantasy forest with glowing mushrooms and magical creatures', 'model': 'anything_4_0', 'upscale': 2}",,,,,,,
5,Dezgo,/text2image,"Create a picture of a steampunk airship flying over a desert, with gears and cogs visible on the ship. Set the seed to 123456 for consistency.","{'prompt': 'steampunk airship flying over a desert with gears and cogs visible on the ship', 'seed': 123456}",,,,,,,
5,Dezgo,/text2image,"Can you generate an image of a futuristic robot with a sleek design, standing in a high-tech lab? Use the dpm sampler and set the width to 800 pixels.","{'prompt': 'futuristic robot with a sleek design standing in a high-tech lab', 'sampler': 'dpm', 'width': 800}",,,,,,,
5,Dezgo,/text2image,I need an image of a tropical beach with palm trees and crystal-clear water. Make sure the image is 1280x720 pixels and use the realistic_vision_1_3 model.,"{'prompt': 'tropical beach with palm trees and crystal-clear water', 'width': 1280, 'height': 720, 'model': 'realistic_vision_1_3'}",,,,,,,
5,Dezgo,/text2image,"Generate a picture of a vintage car driving through a rainy city at night, with reflections on the wet streets. Set the guidance to 5 for a balanced result.","{'prompt': 'vintage car driving through a rainy city at night with reflections on the wet streets', 'guidance': 5}",,,,,,,
5,Dezgo,/text2image,Can you create an image of a magical library with floating books and glowing runes? Use the dreamshaper model and set the steps to 40 for more detail.,"{'prompt': 'magical library with floating books and glowing runes', 'model': 'dreamshaper', 'steps': 40}",,,,,,,
6,EveryEarthquake,Earthquakes,Can you show me the most recent earthquakes that were at least magnitude 5.0?,{'magnitude': '5'},,,,,,,
6,EveryEarthquake,Earthquakes,"Find all earthquakes within a 50-mile radius of Los Angeles, California.","{'latitude': '34.0522', 'longitude': '-118.2437', 'radius': '50', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,I need a list of the 200 most recent earthquakes worldwide.,{'count': '200'},,,,,,,
6,EveryEarthquake,Earthquakes,"Check for any earthquakes with an intensity of 6 or higher near Tokyo, Japan.","{'latitude': '35.6895', 'longitude': '139.6917', 'intensity': '6', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,Retrieve the latest 500 earthquakes that occurred within a 100-kilometer radius of San Francisco.,"{'latitude': '37.7749', 'longitude': '-122.4194', 'radius': '100', 'units': 'kilometers', 'count': '500'}",,,,,,,
6,EveryEarthquake,Earthquakes,Show me all the earthquakes of magnitude 4.5 or greater that happened in the last week.,{'magnitude': '4.5'},,,,,,,
6,EveryEarthquake,Earthquakes,"Can you find any quarry blasts recorded within a 30-mile radius of Denver, Colorado?","{'latitude': '39.7392', 'longitude': '-104.9903', 'radius': '30', 'units': 'miles', 'type': 'quarry blast'}",,,,,,,
6,EveryEarthquake,Earthquakes,"List the top 1000 earthquakes worldwide, starting from the 500th result.","{'count': '1000', 'start': '500'}",,,,,,,
6,EveryEarthquake,Earthquakes,I’m looking for earthquakes with a magnitude of at least 7.0 near the equator.,"{'latitude': '0', 'longitude': '0', 'magnitude': '7', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,"Find all explosions recorded within a 20-kilometer radius of Paris, France.","{'latitude': '48.8566', 'longitude': '2.3522', 'radius': '20', 'units': 'kilometers', 'type': 'explosion'}",,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you check the on-time performance for Delta Airlines using their IATA code?,{'iata': 'DAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I need the latest statistics for British Airways based on their ICAO code.,{'icao': 'BAW'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Find the flight status details for American Airlines using their ident.,{'ident': 'AAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Could you provide the airline statistics for Lufthansa with their ICAO code?,{'icao': 'DLH'},,,,,,,
7,Flightera Flight Data,airlineStatistics,What’s the on-time performance for Emirates using their IATA code?,{'iata': 'UAE'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Get me the current day's data for Air France using their ident.,{'ident': 'AFR'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you look up the statistics for Qantas Airways with their ICAO code?,{'icao': 'QFA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I’d like to see the flight status for Singapore Airlines using their IATA code.,{'iata': 'SIA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Provide the on-time performance details for Cathay Pacific using their ident.,{'ident': 'CPA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Check the airline statistics for KLM Royal Dutch Airlines with their ICAO code.,{'icao': 'KLM'},,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Can you check the departure delay statistics for JFK airport on 2023-10-15?,"{'ident': 'JFK', 'dt': '2023-10-15', 'isDeparture': True}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I need the arrival delay data for Heathrow Airport on 2023-11-01.,"{'ident': 'Heathrow', 'dt': '2023-11-01', 'isDeparture': False}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Find out the departure delays at LAX for 2023-09-20.,"{'ident': 'LAX', 'dt': '2023-09-20', 'isDeparture': True}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,What were the arrival delay statistics for O'Hare International Airport on 2023-08-05?,"{'ident': ""O'Hare International"", 'dt': '2023-08-05', 'isDeparture': False}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Check the departure delay details for Dubai International Airport on 2023-12-25.,"{'ident': 'Dubai International', 'dt': '2023-12-25', 'isDeparture': True}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Can you provide the arrival delay statistics for Charles de Gaulle Airport on 2023-07-10?,"{'ident': 'Charles de Gaulle', 'dt': '2023-07-10', 'isDeparture': False}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I’d like to see the departure delay data for Sydney Airport on 2023-06-18.,"{'ident': 'Sydney', 'dt': '2023-06-18', 'isDeparture': True}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,What are the arrival delay statistics for Tokyo Haneda Airport on 2023-05-12?,"{'ident': 'Tokyo Haneda', 'dt': '2023-05-12', 'isDeparture': False}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Get me the departure delay details for Frankfurt Airport on 2023-04-30.,"{'ident': 'Frankfurt', 'dt': '2023-04-30', 'isDeparture': True}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Can you find the arrival delay statistics for Singapore Changi Airport on 2023-03-22?,"{'ident': 'Singapore Changi', 'dt': '2023-03-22', 'isDeparture': False}",,,,,,,
9,Foreca Weather,Daily,Can you tell me the weather forecast for Paris for the next 8 days?,"{'location': 'Paris', 'periods': 8}",,,,,,,
