index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you find the seller details for the seller with ID AD97MR4NOW5CD on Amazon.com?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Please look up the information for the seller with ID A1X2Y3Z4B5C6 on Amazon.co.uk.,"{'sellerId': 'A1X2Y3Z4B5C6', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,"I want to know the details of the seller with ID B07N4M94ZP on Amazon.de, can you get that for me?","{'sellerId': 'B07N4M94ZP', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Retrieve the seller profile for seller ID 123ABC456XYZ on Amazon.ca.,"{'sellerId': '123ABC456XYZ', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Could you check the seller information for ID ZYX987654321 on Amazon.in?,"{'sellerId': 'ZYX987654321', 'domainCode': 'in'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find out who is behind the seller ID MNO456PQR789 on Amazon.com.au.,"{'sellerId': 'MNO456PQR789', 'domainCode': 'com.au'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller details for the ID 9X8Y7Z6W5V4U on Amazon.fr.,"{'sellerId': '9X8Y7Z6W5V4U', 'domainCode': 'fr'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get me the seller information for the ID LKM123NVB456 on Amazon.it.,"{'sellerId': 'LKM123NVB456', 'domainCode': 'it'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Please provide the details of the seller with ID PQRS7890TUV on Amazon.es.,"{'sellerId': 'PQRS7890TUV', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you fetch the seller profile for ID GHJ456KLM123 on Amazon.co.jp?,"{'sellerId': 'GHJ456KLM123', 'domainCode': 'co.jp'}",,,,,,,
2,car code,/obd2/{code},Can you tell me what the error code P0420 means on my car's dashboard?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},Look up the description for the OBD-II trouble code P0302 so I know why cylinder 2 is misfiring.,{'code': 'P0302'},,,,,,,
2,car code,/obd2/{code},I just got a check engine light with code P0171; explain what this code indicates.,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},Find out what the diagnostic trouble code P0455 stands for in my 2015 Honda Civic.,{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},Please decode the OBD-II code P0133 to understand the oxygen sensor issue in my Ford F-150.,{'code': 'P0133'},,,,,,,
2,car code,/obd2/{code},What does the trouble code P0700 mean when it appears on my Toyota Camry's system?,{'code': 'P0700'},,,,,,,
2,car code,/obd2/{code},Check the meaning of code P0128 so I can figure out why my engine temperature is off.,{'code': 'P0128'},,,,,,,
2,car code,/obd2/{code},Help me identify the problem indicated by the OBD-II code P0442 on my Jeep Wrangler.,{'code': 'P0442'},,,,,,,
2,car code,/obd2/{code},Translate the error code P0113 to understand the air intake temperature sensor fault in my BMW X5.,{'code': 'P0113'},,,,,,,
2,car code,/obd2/{code},I need to know what the code P0507 means because my car's idle speed seems too high.,{'code': 'P0507'},,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Can you check how many new COVID-19 cases were reported in Brazil on March 15, 2023?","{'country': 'Brazil', 'date': '2023-03-15', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"I need the total number of COVID-19 deaths in California for January 10, 2022.","{'country': 'United States', 'region': 'California', 'date': '2022-01-10', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Show me the COVID-19 case count for India as of February 1, 2024.","{'country': 'India', 'date': '2024-02-01', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Find out how many COVID-19 deaths were recorded in Texas on July 4, 2023.","{'country': 'United States', 'region': 'Texas', 'date': '2023-07-04', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Get the COVID-19 cases reported in Germany on December 25, 2022.","{'country': 'Germany', 'date': '2022-12-25', 'type': 'cases'}",,,,,,,
