index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you provide details for the seller with ID AD97MR4NOW5CD on Amazon.com?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I need information about the seller with ID B01N5IB20Q on the UK Amazon site.,"{'sellerId': 'B01N5IB20Q', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Fetch the seller details for ID A1PA6795UKMFR9 on Amazon.de.,"{'sellerId': 'A1PA6795UKMFR9', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get me the seller information for ID A3P5ROKL5A1OLE on Amazon.ca.,"{'sellerId': 'A3P5ROKL5A1OLE', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller with ID A1RKKUPIHCS9HS on the Amazon.es domain.,"{'sellerId': 'A1RKKUPIHCS9HS', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Retrieve details for seller ID A1F83G8C2ARO7P on Amazon.co.jp.,"{'sellerId': 'A1F83G8C2ARO7P', 'domainCode': 'co.jp'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you find the seller information for ID A1VC38T7YXB528 on Amazon.in?,"{'sellerId': 'A1VC38T7YXB528', 'domainCode': 'in'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I want to know more about the seller with ID A2Q3Y263D00KWC on Amazon.it.,"{'sellerId': 'A2Q3Y263D00KWC', 'domainCode': 'it'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Please provide the seller details for ID A3UN6WX5RRO2AG on Amazon.fr.,"{'sellerId': 'A3UN6WX5RRO2AG', 'domainCode': 'fr'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get seller information for ID A1C3SOZRARQ6R3 on Amazon.com.au.,"{'sellerId': 'A1C3SOZRARQ6R3', 'domainCode': 'com.au'}",,,,,,,
2,car code,/obd2/{code},What does the OBD-II code P0300 mean?,{'code': 'P0300'},,,,,,,
2,car code,/obd2/{code},Can you explain the trouble code P0420?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},I need the description for the code P0171.,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},What is the meaning of the diagnostic code P0455?,{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},Could you tell me what the code P0133 stands for?,{'code': 'P0133'},,,,,,,
2,car code,/obd2/{code},Please provide the details for the OBD-II code P0700.,{'code': 'P0700'},,,,,,,
2,car code,/obd2/{code},What does the error code P0500 indicate?,{'code': 'P0500'},,,,,,,
2,car code,/obd2/{code},I need to know what the code P0113 means.,{'code': 'P0113'},,,,,,,
2,car code,/obd2/{code},Can you give me the explanation for the code P0301?,{'code': 'P0301'},,,,,,,
2,car code,/obd2/{code},What is the description of the trouble code P0442?,{'code': 'P0442'},,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What are the Covid-19 case numbers for Italy on 2023-09-15?,"{'country': 'Italy', 'date': '2023-09-15', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,How many Covid-19 deaths were reported in Brazil on 2023-08-01?,"{'country': 'Brazil', 'date': '2023-08-01', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Give me the Covid-19 case count for the United States.,"{'country': 'United States', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What is the Covid-19 death toll in India as of 2023-10-01?,"{'country': 'India', 'date': '2023-10-01', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Can you provide the Covid-19 cases for Germany on 2023-07-20?,"{'country': 'Germany', 'date': '2023-07-20', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,How many Covid-19 deaths occurred in France on 2023-06-15?,"{'country': 'France', 'date': '2023-06-15', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"What are the Covid-19 case numbers for California, United States?","{'country': 'United States', 'region': 'California', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Tell me the Covid-19 death statistics for New York, United States on 2023-05-10.","{'country': 'United States', 'region': 'New York', 'date': '2023-05-10', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"What is the Covid-19 case count for Tokyo, Japan?","{'country': 'Japan', 'region': 'Tokyo', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"How many Covid-19 deaths were reported in Ontario, Canada on 2023-04-01?","{'country': 'Canada', 'region': 'Ontario', 'date': '2023-04-01', 'type': 'deaths'}",,,,,,,
4,Cricket Live Data,Results By Date,"What were the cricket match results on September 15, 2023?",{'date': '2023-09-15'},,,,,,,
4,Cricket Live Data,Results By Date,"Can you show me the cricket scores for October 1, 2023?",{'date': '2023-10-01'},,,,,,,
4,Cricket Live Data,Results By Date,"I need the cricket match outcomes for August 25, 2023.",{'date': '2023-08-25'},,,,,,,
4,Cricket Live Data,Results By Date,"Please provide the cricket results for July 4, 2023.",{'date': '2023-07-04'},,,,,,,
4,Cricket Live Data,Results By Date,"What were the scores for the cricket games on June 10, 2023?",{'date': '2023-06-10'},,,,,,,
4,Cricket Live Data,Results By Date,"Fetch the cricket match results for May 20, 2023.",{'date': '2023-05-20'},,,,,,,
4,Cricket Live Data,Results By Date,"I want to know the cricket results for April 15, 2023.",{'date': '2023-04-15'},,,,,,,
4,Cricket Live Data,Results By Date,"Show me the cricket match outcomes for March 30, 2023.",{'date': '2023-03-30'},,,,,,,
