llm_as_judge,api,api_method,utterance,evaluation
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the different genres available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Can you show me the list of Netflix genres?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,I'd like to see all the genres on Netflix.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What types of genres does Netflix offer?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Could you provide me with the genres available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Show me the categories of movies and shows on Netflix.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the genres I can browse on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,"List all the genres available on Netflix, please.",natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Can you tell me the different genres on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the options for genres on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Which countries are available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Can you list all the Netflix-supported countries?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,What are the countries where Netflix is accessible?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Show me the list of countries that have Netflix.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Where can I find Netflix around the world?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Which regions does Netflix operate in?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Tell me the countries that Netflix is available in.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,What countries can I watch Netflix in?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,List all the countries where Netflix is offered.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Can you provide the list of Netflix countries?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Can you show me the images for the movie 'The Irishman'?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,I need all the images related to 'Stranger Things'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Please pull up the images for 'Money Heist'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Show me the images for 'Breaking Bad'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Could you fetch the images for 'The Crown'?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,I'd like to see the images for 'Narcos'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Can you get me the images for 'Black Mirror'?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Please retrieve the images for 'Ozark'.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Show me all the images for 'The Witcher'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,I want to see the images for 'Bird Box'.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Which countries can I watch The Witcher on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,In which countries is Stranger Things available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Where can I find Money Heist on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,What countries have Breaking Bad on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Can you tell me where The Crown is streaming on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Which regions offer Narcos on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Where is Black Mirror available on Netflix?,natural
