index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Can you find out more about the seller with ID A2L77EE7U53NWQ on Amazon UK?,"{'sellerId': 'A2L77EE7U53NWQ', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I want to know the details of the seller identified as A1PA6795UKMFR9 on the German Amazon site.,"{'sellerId': 'A1PA6795UKMFR9', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Show me information about the Amazon seller with the ID A3P5ROKL5A1OLE on the US marketplace.,"{'sellerId': 'A3P5ROKL5A1OLE', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Could you look up the seller whose ID is A2Q3Y263D00KWC on Amazon Canada?,"{'sellerId': 'A2Q3Y263D00KWC', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Tell me about the seller with ID A1RKKUPIHCS9HS on the Spanish Amazon site.,"{'sellerId': 'A1RKKUPIHCS9HS', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Retrieve the profile for seller A33AVAJ2PDY3EV from Amazon Italy.,"{'sellerId': 'A33AVAJ2PDY3EV', 'domainCode': 'it'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,What can you tell me about the seller with ID A1VC38T7YXB528 on the Japanese Amazon?,"{'sellerId': 'A1VC38T7YXB528', 'domainCode': 'co.jp'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Give me the details for the seller A1F83G8C2ARO7P on Amazon UK.,"{'sellerId': 'A1F83G8C2ARO7P', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,I'd like to see information about the seller with ID A39IBJ37TRP1C6 on Amazon France.,"{'sellerId': 'A39IBJ37TRP1C6', 'domainCode': 'fr'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Check the seller details for A1AM78C64UM0Y8 on the Mexican Amazon site.,"{'sellerId': 'A1AM78C64UM0Y8', 'domainCode': 'com.mx'}",,,,,,,
2,car code,/obd2/{code},Can you tell me what the error code P0420 means for my Toyota Camry?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},I just got a P0171 code on my dashboard—what does that indicate?,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},Explain the meaning of code P0302 that appeared after my car started misfiring.,{'code': 'P0302'},,,,,,,
2,car code,/obd2/{code},What is the description for the OBD-II code P0455?,{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},Decode P0128 for me; I saw it during my last vehicle scan.,{'code': 'P0128'},,,,,,,
2,car code,/obd2/{code},I noticed a P0446 code on my Honda Accord—what does this code stand for?,{'code': 'P0446'},,,,,,,
2,car code,/obd2/{code},Give me the human-readable explanation for code P0340.,{'code': 'P0340'},,,,,,,
2,car code,/obd2/{code},What does P0113 mean? My mechanic mentioned it during the inspection.,{'code': 'P0113'},,,,,,,
2,car code,/obd2/{code},Could you clarify the issue indicated by code P0507?,{'code': 'P0507'},,,,,,,
2,car code,/obd2/{code},I received a P0700 code after my transmission warning light came on—what does this code represent?,{'code': 'P0700'},,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"How many new Covid-19 cases were reported in Italy on March 15, 2023?","{'country': 'Italy', 'date': '2023-03-15', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Show me the total number of Covid-19 deaths in Brazil.,"{'country': 'Brazil', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Give me the Covid-19 case count for Germany on January 1, 2024.","{'country': 'Germany', 'date': '2024-01-01', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"I want to know the number of Covid-19 deaths in the United States on July 4, 2022.","{'country': 'United States', 'date': '2022-07-04', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,List the Covid-19 cases for the province of Ontario in Canada.,"{'country': 'Canada', 'region': 'Ontario', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Can you tell me how many Covid-19 deaths occurred in Los Angeles County, California on December 25, 2021?","{'country': 'United States', 'region': 'California', 'county': 'Los Angeles', 'date': '2021-12-25', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Fetch the Covid-19 case numbers for India.,"{'country': 'India', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"What was the Covid-19 death toll in Spain on August 10, 2023?","{'country': 'Spain', 'date': '2023-08-10', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Provide the Covid-19 cases for the state of New York in the United States.,"{'country': 'United States', 'region': 'New York', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"I’d like to see the number of Covid-19 deaths in Tokyo, Japan on May 5, 2022.","{'country': 'Japan', 'region': 'Tokyo', 'date': '2022-05-05', 'type': 'deaths'}",,,,,,,
4,Cricket Live Data,Results By Date,"Can you show me all the cricket match results from March 15, 2023?",{'date': '2023-03-15'},,,,,,,
4,Cricket Live Data,Results By Date,"I want to know who won the matches played on December 25, 2022.",{'date': '2022-12-25'},,,,,,,
4,Cricket Live Data,Results By Date,"List the outcomes of cricket games that took place on July 4, 2021.",{'date': '2021-07-04'},,,,,,,
4,Cricket Live Data,Results By Date,"Give me the scorecards for all cricket fixtures held on October 10, 2020.",{'date': '2020-10-10'},,,,,,,
4,Cricket Live Data,Results By Date,"What were the results of the matches on January 1, 2024?",{'date': '2024-01-01'},,,,,,,
4,Cricket Live Data,Results By Date,"Tell me the final scores for cricket games played on August 18, 2022.",{'date': '2022-08-18'},,,,,,,
4,Cricket Live Data,Results By Date,"Fetch the cricket match results for November 11, 2021.",{'date': '2021-11-11'},,,,,,,
4,Cricket Live Data,Results By Date,"Could you provide the outcomes of all cricket matches from May 30, 2019?",{'date': '2019-05-30'},,,,,,,
4,Cricket Live Data,Results By Date,"I’d like to see the results for cricket games on February 14, 2023.",{'date': '2023-02-14'},,,,,,,
4,Cricket Live Data,Results By Date,"Show me who played and what the results were on September 20, 2020.",{'date': '2020-09-20'},,,,,,,
5,Dezgo,/text2image,"Can you create a highly detailed image of a futuristic Tokyo skyline at night, with neon lights and flying cars, in the style of cyberpunk art?","{'prompt': 'a futuristic Tokyo skyline at night, neon lights, flying cars, cyberpunk art, highly detailed'}",,,,,,,
5,Dezgo,/text2image,"I'd like a portrait of a golden retriever wearing glasses and reading a book, but please avoid any blurry or out-of-frame elements.","{'prompt': 'a golden retriever wearing glasses and reading a book, cozy atmosphere', 'negative_prompt': 'blurry, out of frame'}",,,,,,,
5,Dezgo,/text2image,"Generate a 1024x768 image of a serene mountain lake at sunrise, with mist over the water and pine trees reflected in the surface.","{'prompt': 'a serene mountain lake at sunrise, mist over the water, pine trees reflected in the surface', 'width': 1024, 'height': 768}",,,,,,,
5,Dezgo,/text2image,"Show me what a steampunk-inspired airship flying above Victorian London would look like, using the 'steampunk_diffusion' model.","{'prompt': 'a steampunk-inspired airship flying above Victorian London, dramatic lighting', 'model': 'steampunk_diffusion'}",,,,,,,
