api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
Football Prediction,List available federations,What federations are covered by the Football Prediction API?,unnatural,unnatural,natural
Horse Racing,Query races,Find races at Cheltenham from 2023-10-01 to 2023-10-15.,natural,natural,unnatural
Forecast,Index,Where can I find the details about the Forecast API?,unnatural,natural,natural
GamerPower,Live giveaways by type,Find all live game giveaways.,natural,natural,natural
unogsNG,Expiring,What movies and shows are expiring in India and Brazil?,unnatural,natural,natural
Microsoft Authenticator,validate,Verify the TOTP code 987654 using the secret ZYXWVUTSRQPONMLK.,unnatural,unnatural,unnatural
MoviesDatabase,/actors,List 9 actors from the MoviesDatabase on the second page.,unnatural,unnatural,unnatural
Tasty,recipes/detail (Deprecated),Provide the ingredients list for recipe ID 1819.,unnatural,unnatural,unnatural
ExerciseDB,List by target muscle,List exercises that target the quadriceps.,natural,natural,natural
Cricket Live Data,Match Scorecard,What's the current scorecard for the cricket match with ID 2433000?,unnatural,unnatural,unnatural
unogsNG,Search,"Find movies released in 2020 with an IMDb rating above 8, ordered by title.",natural,natural,unnatural
Football Prediction,Get list of fixture IDs,I need the fixture IDs for football matches in the Oceanian market.,unnatural,unnatural,unnatural
MoviesDatabase,/actors/{id},Could you fetch the details for the actor identified by nm0000288?,unnatural,unnatural,unnatural
Quality Porn,Pornstar by name,Find details about the pornstar Jenna_Jameson including all images.,natural,unnatural,natural
Newscatcher,/v1/aggregation,"Get articles about business in India, ranked between 500 and 1000.",unnatural,unnatural,unnatural
GamerPower,Filter & Group Giveaways,Find game giveaways on Epic Games Store and Steam.,natural,natural,natural
Google Web Search,Search,Look up the latest reviews for the iPhone 15.,natural,natural,natural
TrackingMore_v2,carriers/list,What are the supported couriers for global package tracking on TrackingMore?,natural,unnatural,unnatural
unogsNG,Search,Get the top 10 rated series from the UK and Canada.,natural,natural,natural
MoviesDatabase,/titles/random,Can you find a random movie from the year 2015?,natural,natural,natural
Transportistas de Argentina,/offices/postcode/:service/:postCode,Busco las oficinas de Correo Argentino en el área del código postal 10000.,natural,natural,natural
SolarEnergyPrediction,/v2.0/solar/estimation,"What is the expected monthly solar energy output for a system at latitude 37.7749, longitude -122.4194 with a capacity of 18000 Watt-Peak and a loss factor of 10%?",unnatural,unnatural,unnatural
NLP Translation,Translate,"Convert 'See you later' into Korean, protecting 'See'.",unnatural,unnatural,unnatural
Forecast,RapidApiGetForecastSummaryByLocationName,Can I get the 16-day weather forecast for Berlin?,natural,natural,natural
Horse Racing,Trainers win rate,Get the win rate of trainers over the last 30 days.,natural,natural,unnatural
Football Prediction,Performance stats for past predictions,Can you provide the prediction performance statistics for the 'draw no bet' market?,unnatural,unnatural,natural
MoviesDatabase,/titles/utils/genres,What types of genres are available for movies in the MoviesDatabase?,natural,unnatural,unnatural
Transportistas de Argentina,/offices/search/:service/:stateIsoCode/:keyword,Obtén las sucursales de Andreani en Salta para el área de Salta Capital.,natural,natural,unnatural
TweetFeed,v1,List all malicious IPs reported by @1ZRR4H in the last month.,natural,unnatural,unnatural
Live Metal Prices,Latest (retrieve selected 160+ Symbols),What are the latest prices for Gold and Platinum in EUR and USD?,natural,natural,natural
Forecast,RapidApiGetForecastHourlyByCoordinates,Can you provide the hourly forecast for latitude 41.9028 and longitude 12.4964?,unnatural,unnatural,unnatural
NLP Translation,Translate,What is 'Happy Birthday' in Italian?,natural,natural,natural
MyMemory - Translation Memory,search translations,Translate 'Excuse me' from English to Chinese.,natural,natural,natural
MoviesDatabase,/titles/episode/{id},Can you fetch the mini information for the episode with IMDb ID tt8901234?,unnatural,unnatural,unnatural
TikTok Downloader - Download TikTok Videos without watermark,video without watermark ( mp4 & mp3 & cover ),I want to download the TikTok video from this URL: https://www.tiktok.com/@testuser/video/1122334455.,natural,natural,natural
Mobile Phone Specs Database,Get {Specifications} by {Custom id},Can you provide the features of the phone with custom ID 778899?,unnatural,unnatural,unnatural
Tasty,recipes/auto-complete,Find recipes for a classic Caesar salad.,natural,natural,natural
Horse Racing,Race detail info,"Could you fetch the form, OR, and owner details for the race with ID 207660?",unnatural,unnatural,unnatural
Live Metal Prices,Latest In chosen currency,"Show the latest prices for gold, silver, palladium, and platinum in USD.",natural,natural,natural
Cricket Live Data,Fixtures By Date,"What cricket fixtures are scheduled for October 15, 2023?",natural,natural,natural
MoviesDatabase,/titles/search/akas/{aka},Get information about the movie 'Titanic' with a limit of 5 results per page.,unnatural,unnatural,unnatural
webcams.travel,"/webcams/list/orderby={order},{sort}","List the hottest webcams in Spanish, sorted in descending order.",unnatural,unnatural,unnatural
ExerciseDB,List of all exercises,Provide me with a list of all exercises available in the ExerciseDB.,unnatural,unnatural,unnatural
Cricket Live Data,Series,Can you provide a list of cricket series that are ongoing?,natural,natural,natural
ExerciseDB,List by body part,Show me exercises that work on the calves.,natural,natural,natural
Transportistas de Argentina,/cities/postcode/:stateIsoCode/:postCode,Necesito información sobre las localidades en la provincia AR-C con el código postal 2000.,natural,unnatural,unnatural
TrackingMore_v2,carriers/list,Show me the list of all supported carriers for tracking on TrackingMore.,natural,unnatural,unnatural
Virtual Number,Get Number By Country Id,I’m looking for a virtual number in country ID 7 for SMS verification.,unnatural,unnatural,unnatural
ExerciseDB,List of all exercises,Can you show me all the exercises available in the ExerciseDB?,unnatural,unnatural,unnatural
Cricket Live Data,Fixtures By Series,What are the fixtures for the cricket series with ID 606?,unnatural,unnatural,unnatural
ExerciseDB,List by body part,Can you list exercises for the legs?,natural,natural,natural
Tasty,tips/list,What are the reviews for recipe id 5678?,unnatural,unnatural,unnatural
MoviesDatabase,/actors,Show me the first page of actors from the MoviesDatabase.,unnatural,unnatural,unnatural
Find any IP address or Domain Location world wide,IP Location of Client or IP Location of Visitor,Can you provide the sunrise and sunset times for the domain facebook.com?,unnatural,unnatural,unnatural
ExerciseDB,List by target muscle,Can you find exercises that work the calves?,natural,natural,natural
inboxes.com,ActivateInbox,Activate the inbox with ID 'test@getnada.com' and wait for messages.,unnatural,unnatural,unnatural
Transportistas de Argentina,/quotes/postcode/correo_argentino/:weight/:postCodeSrc/:postCodeDst,¿Cuál es el costo de enviar un paquete de 2 kg desde el código postal 5000 al 6000 con Correo Argentino?,natural,natural,natural
NLP Translation,Translate,How do you translate 'See you later' into Russian?,natural,natural,natural
unogsNG,Genres,List all the genres I can watch on Netflix.,natural,natural,natural
Transportistas de Argentina,/offices/postcode/:service/:postCode,¿Dónde puedo encontrar las oficinas de Oca en el código postal 5000?,natural,natural,natural
Mobile Phone Specs Database,List  all {Models} by {Phone Brand},Show me all mobile phone models from Samsung.,natural,natural,natural
Omniinfer,Progress,I need to know the progress of the task with ID klmno.,unnatural,unnatural,unnatural
Newscatcher,/v1/search_free,Find news articles about space exploration in French.,natural,natural,natural
TrackingMore_v2,packages/v2/track,Where is the package with tracking number NY323068698GB currently located?,natural,natural,natural
MoviesDatabase,/titles/search/akas/{aka},Get mini info about the movie 'The Matrix' released in 1999.,natural,unnatural,natural
Forward & Reverse Geocoding,ForwardGeocoding,"What are the latitude and longitude coordinates for 34 West 13th Street, New York City, NY, USA?",natural,natural,natural
Tasty,recipes/list,"Get 7 recipes sorted by approval date in descending order, starting from the 3rd item.",unnatural,unnatural,unnatural
MoviesDatabase,/titles/random,Find a random action movie released between 2000 and 2010.,natural,natural,natural
Cricket Live Data,Results By Date,"Show me the cricket results for April 1st, 2021.",natural,natural,natural
