llm_as_judge,api,api_method,utterance,evaluation
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Can you list all the genres available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the different genres I can explore on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Show me all the categories of movies and shows on Netflix.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What genres does Netflix offer for streaming?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Can you provide a list of Netflix genres?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the available genres on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,List all the genres I can watch on Netflix.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What types of genres are available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,Can you show me the genres available on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Genres,What are the genres I can browse on Netflix?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Can you show me the list of countries where Netflix is available?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,What are the available Netflix countries?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Provide me with the list of countries supported by Netflix.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Which countries can I access Netflix from?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Give me the list of Netflix-supported countries.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Show me all the countries where Netflix is accessible.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,What countries are included in Netflix's global service?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Can you list the countries where Netflix operates?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,Tell me the countries that have Netflix available.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Countries,What are the Netflix-available countries?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Get all images for the Netflix title with ID 81037848.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Show me the first 10 images for the Netflix title with ID 12345678.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Retrieve images starting from the 5th result for the Netflix title with ID 98765432.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Fetch the first 20 images for the Netflix title with ID 55555555.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,"Get images for the Netflix title with ID 11111111, starting from the 3rd result.",unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Show me the first 50 images for the Netflix title with ID 22222222.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Retrieve images starting from the 10th result for the Netflix title with ID 33333333.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Get the first 30 images for the Netflix title with ID 44444444.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Fetch images starting from the 7th result for the Netflix title with ID 66666666.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Images,Show me the first 15 images for the Netflix title with ID 77777777.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Which countries have access to the Netflix title with ID 81043135?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Can you tell me the countries where Netflix ID 12345678 is available?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,I want to know the countries associated with Netflix ID 87654321.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Find out the countries that have access to Netflix title ID 55555555.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,What countries can watch the Netflix title with ID 99999999?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,List the countries where Netflix ID 11111111 is available.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Which regions have the Netflix title with ID 22222222?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Can you provide the countries associated with Netflix ID 33333333?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,Tell me the countries that can access Netflix ID 44444444.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Countries,What are the countries where Netflix ID 66666666 is available?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,What are the genres for the Netflix title with ID 81043135?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,Can you tell me the genres associated with Netflix ID 12345678?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,Find the genres for the Netflix show with ID 98765432.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,What genres are linked to Netflix ID 55555555?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,Get the genres for the Netflix movie with ID 11111111.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,List the genres associated with Netflix ID 22222222.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,What are the genres for the Netflix series with ID 33333333?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,Can you provide the genres for Netflix ID 44444444?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,Find out the genres for the Netflix title with ID 66666666.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Genres,What genres are associated with Netflix ID 77777777?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Can you provide details for the Netflix title with ID 81043135?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,What information is available for the Netflix title with IMDB ID tt1234567?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Find details for the Netflix title with ID 12345678.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Get information for the Netflix title associated with IMDB ID tt9876543.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,What are the details for the Netflix title with ID 87654321?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Retrieve information for the Netflix title with IMDB ID tt5555555.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Can you find details for the Netflix title with ID 11223344?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Provide details for the Netflix title with IMDB ID tt9999999.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,What is the information for the Netflix title with ID 33445566?,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Title Details,Get details for the Netflix title associated with IMDB ID tt7777777.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,What titles are expiring in the US and Canada?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,Show me the list of expiring titles in the UK and Australia.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,Can you provide the expiring titles in Germany and France?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,Get the expiring titles in Japan and South Korea.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,What movies and shows are expiring in India and Brazil?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,unogsNG,Expiring,List the expiring titles in Italy and Spain.,natural
