index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
1,Axesso - Amazon Data Service,lookupSeller,Show me the details for the Amazon seller with seller ID A1PA6795UKMFR9 on amazon.de.,"{'sellerId': 'A1PA6795UKMFR9', 'domainCode': 'de'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you look up the seller with ID AD97MR4NOW5CD on amazon.com?,"{'sellerId': 'AD97MR4NOW5CD', 'domainCode': 'com'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find information about the seller with ID A2L77EE7U53NWQ on amazon.co.uk.,"{'sellerId': 'A2L77EE7U53NWQ', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Get the seller details for seller ID A3P5ROKL5A1OLE on amazon.ca.,"{'sellerId': 'A3P5ROKL5A1OLE', 'domainCode': 'ca'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Who is the seller with ID A1VC38T7YXB528 on amazon.co.jp?,"{'sellerId': 'A1VC38T7YXB528', 'domainCode': 'co.jp'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Look up the seller with ID A1RKKUPIHCS9HS on amazon.es.,"{'sellerId': 'A1RKKUPIHCS9HS', 'domainCode': 'es'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Give me details for the seller with ID A1F83G8C2ARO7P on amazon.co.uk.,"{'sellerId': 'A1F83G8C2ARO7P', 'domainCode': 'co.uk'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Can you provide information about the seller with ID A13V1IB3VIYZZH on amazon.in?,"{'sellerId': 'A13V1IB3VIYZZH', 'domainCode': 'in'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Show me the seller details for seller ID A1AM78C64UM0Y8 on amazon.com.mx.,"{'sellerId': 'A1AM78C64UM0Y8', 'domainCode': 'com.mx'}",,,,,,,
1,Axesso - Amazon Data Service,lookupSeller,Find the seller information for seller ID A1C3SOZRARQ6R3 on amazon.it.,"{'sellerId': 'A1C3SOZRARQ6R3', 'domainCode': 'it'}",,,,,,,
2,car code,/obd2/{code},What does the OBD-II code P0420 mean?,{'code': 'P0420'},,,,,,,
2,car code,/obd2/{code},Can you tell me the description for code P0301?,{'code': 'P0301'},,,,,,,
2,car code,/obd2/{code},Explain the trouble code P0171.,{'code': 'P0171'},,,,,,,
2,car code,/obd2/{code},I got a P0455 code on my scanner. What does it stand for?,{'code': 'P0455'},,,,,,,
2,car code,/obd2/{code},What is the meaning of OBD2 code P0128?,{'code': 'P0128'},,,,,,,
2,car code,/obd2/{code},Could you look up the code P0442 for me?,{'code': 'P0442'},,,,,,,
2,car code,/obd2/{code},What does code P0340 indicate?,{'code': 'P0340'},,,,,,,
2,car code,/obd2/{code},Give me the human readable version of code P0113.,{'code': 'P0113'},,,,,,,
2,car code,/obd2/{code},I need the explanation for OBD-II code P0507.,{'code': 'P0507'},,,,,,,
2,car code,/obd2/{code},What is the definition of code P0700?,{'code': 'P0700'},,,,,,,
