api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
Extract News,Article,I want the structured data from this news article: https://www.cnn.com/2023/07/10/tech/elon-musk-twitter-changes/index.html.,unnatural,unnatural,unnatural
Google Translate,Tranlate Text,Please translate 'Gracias' from Spanish to Portuguese.,natural,natural,natural
Domainr,/v2/register,I need to register the domain artgallery.co with Namecheap.,natural,natural,natural
unogsNG,Deleted,Can you tell me which titles were removed from Netflix in Germany and France?,natural,natural,natural
Horse Racing,Jockeys win rate,Can you provide the jockeys' win stats for the last 8 days?,natural,natural,natural
PhoneNumberValidateFree,Validate,Check the phone number +81312345678 for me.,natural,natural,natural
MoviesDatabase,/titles/{id}/ratings,Can you show me the ratings for the movie with IMDb ID tt0111161?,unnatural,unnatural,unnatural
SolarEnergyPrediction,/v2.0/solar/prediction,I need a solar power forecast for the plant with ID 0xAb425D74eA0113d11c3092E47a4C0542C25973db.,unnatural,unnatural,unnatural
webcams.travel,"/webcams/list/nearby={lat},{lng},{radius}","List all properties of webcams close to the Great Wall of China, up to 200 kilometers.",unnatural,unnatural,unnatural
TweetFeed,v1,Show me the malicious URLs detected today.,natural,natural,natural
MoviesDatabase,/titles/{id}/crew,Can you list the crew members for the series with IMDb ID tt0468569?,unnatural,unnatural,unnatural
MoviesDatabase,/titles/search/keyword/{keyword},List comedy films from 1995 to 2000.,natural,natural,unnatural
Sentiment Analysis,Analyze (post),Can you find out if 'The customer service was helpful and prompt' is a positive comment?,natural,natural,natural
IsItWater.com,Is a coordinate water?,Is the location at 40.7128 latitude and -74.0060 longitude water?,natural,unnatural,unnatural
Football Prediction,Head To Head,What are the head-to-head stats for the Paris Saint-Germain vs Marseille match?,natural,natural,natural
Football Prediction,Head To Head,I'd like to see the head-to-head record for the Tottenham Hotspur vs Manchester City match.,natural,natural,natural
MyMemory - Translation Memory,search translations,Could you translate 'Happy Birthday' from French to Spanish?,natural,natural,natural
Omniinfer,Get Models,Can you list the models that are used for text-to-image tasks?,natural,natural,natural
unogsNG,Title Countries,Find out which countries have 'Narcos' available on Netflix.,natural,natural,natural
MoviesDatabase,/titles/x/upcoming,Show me upcoming drama movies from 2023.,natural,natural,natural
Cricket Live Data,Match Scorecard,I'd like to know the scorecard for the India vs Pakistan game.,natural,natural,natural
Forecast,RapidApiGetObservationHistoryByCoordinates,"Could you fetch the historical weather for 55.7558, 37.6173?",unnatural,unnatural,unnatural
Quality Porn,Supported sites,Give me a rundown of all the porn sites and the qualities they offer.,natural,natural,natural
PhoneNumberValidateFree,Validate,"Validate the number 0912345678 in Italy, please.",natural,unnatural,unnatural
Omniinfer,Image to  Image,Can you generate a different version of this image with your tools?,natural,natural,natural
Football Prediction,Performance stats for past predictions,Can you show me the prediction performance for the past 30 days in the UEFA federation?,natural,natural,natural
Horse Racing,Racecards,What are the horse racing events on Christmas Day?,natural,natural,natural
TrackingMore_v2,carriers/detect,Can you find out which carrier is handling the package with tracking number YT2003521266065328?,natural,natural,natural
Quality Porn,Live tags,What are the live tags available for female videos?,unnatural,unnatural,natural
Quality Porn,Docs,I need to see the documentation for the porn video API.,unnatural,unnatural,natural
Pen to Print - Handwriting OCR,recognize,Can you convert this handwritten note into text?,natural,natural,natural
GamerPower,Total live giveaways & worth estimation in dollars,What's the estimated value of all live giveaways in dollars?,natural,natural,natural
Forward & Reverse Geocoding,ReverseGeocoding,I need the address for 37.774929 latitude and -122.419418 longitude with a zoom level of 10.,unnatural,unnatural,unnatural
GamerPower,Total live giveaways & worth estimation in dollars,How much are all the live gaming giveaways worth right now?,natural,natural,natural
SolarEnergyPrediction,/v2.0/solar/estimation,"How much energy will a solar plant produce if it's located at 51.5074 latitude, -0.1278 longitude, with a capacity of 5 kWp and facing east?",unnatural,natural,unnatural
Latest Stock Price,prices,I need the stock price for Tata Consultancy Services in the Nifty IT index.,natural,natural,natural
Candlestick Chart,Binance charts,Could you show a candlestick chart for UNIUSDT with 300 candles and the last price at 25?,unnatural,unnatural,unnatural
MoviesDatabase,/titles/x/upcoming,Can you provide the upcoming titles with mini-info for 2024?,unnatural,unnatural,natural
Omniinfer,Get Models,What models can I use for text-to-image conversion?,natural,natural,natural
Live Metal Prices,Latest (retrieve selected 160+ Symbols),What's the real-time price of Palladium in both USD and EUR?,natural,natural,natural
Workout Planner,Get Customized Plan,I need a beginner workout for weight loss targeting my legs using a treadmill for 50 minutes.,natural,natural,natural
GamerPower,Live giveaways by platform & type & sorted,Find all the free loot available on Steam.,natural,natural,natural
webcams.travel,/webcams/list/{modifier}[/{modifier}[/...]],I want to see webcams in Europe.,natural,natural,natural
Newscatcher,/v1/aggregation,I want to know how many tech articles were published in Germany today.,natural,natural,natural
unogsNG,Deleted,"Can you show me the Netflix titles that were removed after January 1, 2020?",natural,natural,natural
webcams.travel,"/webcams/list/continent={continent}[,{continent}[,...]]",Can you list the continents that have webcams?,natural,natural,natural
TrackingMore_v2,carriers/list,What are the supported couriers for package tracking?,unnatural,unnatural,natural
Lingua Robot,Entry,I'd like to know the synonyms and antonyms for 'ephemeral'.,natural,natural,natural
Candlestick Chart,Binance charts,I need a candlestick chart for ETHUSDT with 50 candles.,natural,natural,unnatural
IsItWater.com,Is a coordinate water?,Can you check if the location at 51.5074 latitude and -0.1278 longitude is water?,natural,unnatural,unnatural
GamerPower,Live giveaways by type,Can you show me the live giveaways for games?,natural,natural,natural
Horse Racing,Query races,What are the races happening in Cheltenham ordered by date ascending?,natural,unnatural,natural
GamerPower,Sort live giveaways,Can you list the giveaways starting with the newest ones?,natural,natural,natural
