llm_as_judge,api,api_method,utterance,evaluation
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a message saying 'Hello, how are you?' to the number +919812345678.",natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I need to send 'Meeting is scheduled for 3 PM' to +919876543219.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your order has been shipped' to the number +919812345679.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Happy Birthday!' to +919876543218?,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Dispatch 'Your appointment is confirmed' to +919812345677.,unnatural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Don't forget the meeting tomorrow' to +919876543217.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I want to send 'Congratulations on your promotion!' to +919812345676.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your package is out for delivery' to +919876543216.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Thank you for your purchase!' to +919812345675.,natural
gpt-4.1-mini,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Please call me back' to +919876543215?,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a message saying 'Hello, how are you?' to the number +919812345678.",natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I need to send 'Meeting is scheduled for 3 PM' to +919876543219.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your order has been shipped' to the number +919812345679.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Happy Birthday!' to +919876543218?,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Dispatch 'Your appointment is confirmed' to +919812345677.,unnatural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Don't forget the meeting tomorrow' to +919876543217.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I want to send 'Congratulations on your promotion!' to +919812345676.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your package is out for delivery' to +919876543216.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Thank you for your purchase!' to +919812345675.,natural
anthropic/claude-4-sonnet,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Please call me back' to +919876543215?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a message saying 'Hello, how are you?' to the number +919812345678.",natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I need to send 'Meeting is scheduled for 3 PM' to +919876543219.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your order has been shipped' to the number +919812345679.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Happy Birthday!' to +919876543218?,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Dispatch 'Your appointment is confirmed' to +919812345677.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Don't forget the meeting tomorrow' to +919876543217.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,I want to send 'Congratulations on your promotion!' to +919812345676.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your package is out for delivery' to +919876543216.,natural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Thank you for your purchase!' to +919812345675.,unnatural
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Can you send 'Please call me back' to +919876543215?,natural
