llm_as_judge,api,api_method,utterance,evaluation
gpt-4.1,unogsNG,Genres,What are the different genres available on Netflix?,natural
gpt-4.1,unogsNG,Genres,Can you list all the Netflix genres for me?,natural
gpt-4.1,unogsNG,Genres,Show me the genres that Netflix offers.,natural
gpt-4.1,unogsNG,Genres,I want to know all the genres on Netflix.,natural
gpt-4.1,unogsNG,Genres,What genres can I explore on Netflix?,natural
gpt-4.1,unogsNG,Genres,List the Netflix genres available globally.,natural
gpt-4.1,unogsNG,Genres,Could you provide a list of Netflix genres?,natural
gpt-4.1,unogsNG,Genres,What are the categories of shows and movies on Netflix?,natural
gpt-4.1,unogsNG,Genres,Give me a rundown of all Netflix genres.,natural
gpt-4.1,unogsNG,Genres,What genre options does Netflix have?,natural
gpt-4.1,unogsNG,Countries,Can you list all the countries where Netflix is available?,natural
gpt-4.1,unogsNG,Countries,Show me the countries that have access to Netflix.,natural
gpt-4.1,unogsNG,Countries,Which countries can stream Netflix content?,natural
gpt-4.1,unogsNG,Countries,Provide a list of countries with Netflix availability.,unnatural
gpt-4.1,unogsNG,Countries,I want to know all the countries where Netflix operates.,natural
gpt-4.1,unogsNG,Countries,List the countries that have Netflix service.,natural
gpt-4.1,unogsNG,Countries,Can you tell me which countries have Netflix access?,natural
gpt-4.1,unogsNG,Countries,What are the countries that can use Netflix?,natural
gpt-4.1,unogsNG,Countries,Give me a list of all Netflix-supported countries.,natural
gpt-4.1,unogsNG,Countries,Which countries are included in Netflix's service area?,natural
gpt-4.1,unogsNG,Images,Show me all the images for the Netflix title with ID 81037848.,unnatural
gpt-4.1,unogsNG,Images,Can you pull images for the Netflix title with ID 70021644 starting from the 5th image?,unnatural
gpt-4.1,unogsNG,Images,Retrieve the first 10 images for the Netflix title with ID 80100172.,unnatural
gpt-4.1,unogsNG,Images,"Get images for the Netflix title with ID 70242311, starting from the 2nd image and show up to 5 images.",unnatural
gpt-4.1,unogsNG,Images,"I need images for the Netflix title with ID 80117470, but only show me the first 3.",unnatural
gpt-4.1,unogsNG,Images,Fetch images for the Netflix title with ID 80057281 starting from the 10th image.,unnatural
gpt-4.1,unogsNG,Images,"Please provide images for the Netflix title with ID 70143836, starting from the 0th image and limit to 8 images.",unnatural
gpt-4.1,unogsNG,Images,"Get me images for the Netflix title with ID 80178943, starting from the 3rd image.",unnatural
gpt-4.1,unogsNG,Images,"I want to see images for the Netflix title with ID 70234439, limit the results to 6 images.",unnatural
gpt-4.1,unogsNG,Images,"Show images for the Netflix title with ID 80025678, starting from the 1st image and show up to 4 images.",unnatural
gpt-4.1,unogsNG,Title Countries,Which countries have the Netflix title with ID 81043135 available?,unnatural
gpt-4.1,unogsNG,Title Countries,Can you list all the countries where the Netflix show with ID 70143836 is accessible?,unnatural
gpt-4.1,unogsNG,Title Countries,Find out the countries that stream the Netflix movie with ID 80234465.,unnatural
gpt-4.1,unogsNG,Title Countries,Where can I watch the Netflix series with ID 70301870?,unnatural
gpt-4.1,unogsNG,Title Countries,Get the list of countries offering the Netflix content with ID 80057281.,unnatural
gpt-4.1,unogsNG,Title Countries,Which regions have access to the Netflix title with ID 80100172?,unnatural
gpt-4.1,unogsNG,Title Countries,In which countries is the Netflix film with ID 80117401 available?,unnatural
gpt-4.1,unogsNG,Title Countries,Can you tell me the countries that have the Netflix show with ID 70234439?,unnatural
gpt-4.1,unogsNG,Title Countries,List the countries where the Netflix documentary with ID 80025678 can be watched.,unnatural
gpt-4.1,unogsNG,Title Countries,Where is the Netflix series with ID 80178943 available for streaming?,unnatural
gpt-4.1,unogsNG,Title Genres,What genres are associated with the Netflix ID 81043135?,unnatural
gpt-4.1,unogsNG,Title Genres,Can you list the genres for the Netflix title with ID 70143836?,unnatural
gpt-4.1,unogsNG,Title Genres,Find all genres linked to the Netflix ID 80234465.,unnatural
gpt-4.1,unogsNG,Title Genres,What are the genres for the Netflix show with ID 70301870?,unnatural
gpt-4.1,unogsNG,Title Genres,Get the genres for the movie with Netflix ID 80117401.,unnatural
gpt-4.1,unogsNG,Title Genres,List the genres associated with Netflix ID 80057281.,unnatural
gpt-4.1,unogsNG,Title Genres,What genres does the Netflix title with ID 70234439 belong to?,unnatural
gpt-4.1,unogsNG,Title Genres,Can you tell me the genres for the Netflix ID 80100172?,unnatural
gpt-4.1,unogsNG,Title Genres,Find the genres for the Netflix series with ID 80025678.,unnatural
gpt-4.1,unogsNG,Title Genres,What genres are listed for the Netflix ID 80192098?,unnatural
gpt-4.1,unogsNG,Title Details,Can you provide details for the Netflix title with ID 81043135?,unnatural
gpt-4.1,unogsNG,Title Details,What information is available for the Netflix show with the IMDB ID tt1234567?,unnatural
gpt-4.1,unogsNG,Title Details,I need details on the Netflix movie with the ID 80234456.,unnatural
gpt-4.1,unogsNG,Title Details,Can you find the Netflix series with the IMDB ID tt7654321?,unnatural
gpt-4.1,unogsNG,Title Details,Give me the specifics for the Netflix title with ID 70021644.,unnatural
gpt-4.1,unogsNG,Title Details,What are the details for the Netflix film with the IMDB ID tt0987654?,unnatural
gpt-4.1,unogsNG,Title Details,Can you show me information on the Netflix title with ID 80100172?,unnatural
gpt-4.1,unogsNG,Title Details,I want to know more about the Netflix show with the IMDB ID tt1122334.,unnatural
gpt-4.1,unogsNG,Title Details,Please provide details for the Netflix movie with ID 70301870.,unnatural
gpt-4.1,unogsNG,Title Details,What information can you find for the Netflix series with the IMDB ID tt5566778?,unnatural
gpt-4.1,unogsNG,Expiring,What titles are expiring soon on Netflix in the US and Canada?,natural
gpt-4.1,unogsNG,Expiring,Show me the first 10 expiring titles on Netflix in the UK.,natural
gpt-4.1,unogsNG,Expiring,List the expiring Netflix titles in Australia starting from the 5th result.,unnatural
gpt-4.1,unogsNG,Expiring,Can you provide a list of expiring titles on Netflix in Germany and France?,natural
gpt-4.1,unogsNG,Expiring,What are the expiring shows on Netflix in India?,natural
gpt-4.1,unogsNG,Expiring,Give me a list of expiring movies on Netflix in Japan with a limit of 20.,unnatural
gpt-4.1,unogsNG,Expiring,What titles are expiring on Netflix in Brazil and Mexico?,natural
gpt-4.1,unogsNG,Expiring,Show expiring Netflix titles in Italy starting from the 10th result.,unnatural
gpt-4.1,unogsNG,Expiring,List the expiring titles on Netflix in Spain with a maximum of 50 results.,unnatural
gpt-4.1,unogsNG,Expiring,What are the expiring titles on Netflix in South Korea?,natural
gpt-4.1,unogsNG,People,Find information about the actor Tom Hanks on Netflix.,natural
gpt-4.1,unogsNG,People,Search for Netflix titles featuring Emma Watson.,natural
gpt-4.1,unogsNG,People,Show me the first 10 results for movies with Leonardo DiCaprio.,natural
gpt-4.1,unogsNG,People,Get details about the person with Netflix ID 80025678.,unnatural
gpt-4.1,unogsNG,People,List all Netflix titles associated with Scarlett Johansson.,unnatural
gpt-4.1,unogsNG,People,Find the first 5 Netflix titles featuring Morgan Freeman.,natural
gpt-4.1,unogsNG,People,Search for the person named Jennifer Lawrence on Netflix.,natural
gpt-4.1,unogsNG,People,Retrieve Netflix information for the person with the name Chris Hemsworth.,unnatural
gpt-4.1,unogsNG,People,Show me Netflix titles linked to the person with ID 70143836.,unnatural
gpt-4.1,unogsNG,People,Find Netflix entries for the first 20 results of Robert Downey Jr.,unnatural
gpt-4.1,unogsNG,Episodes,Can you find the details for episode 70150654 of season 70051768?,unnatural
gpt-4.1,unogsNG,Episodes,What information is available for the Netflix title with ID 70153392?,unnatural
gpt-4.1,unogsNG,Episodes,Show me the episodes in season 70051768.,unnatural
gpt-4.1,unogsNG,Episodes,I want to know more about episode 70150654.,unnatural
gpt-4.1,unogsNG,Episodes,Get me the details for the Netflix show with ID 70153392.,unnatural
gpt-4.1,unogsNG,Episodes,Can you list all episodes for the season with ID 70051768?,unnatural
gpt-4.1,unogsNG,Episodes,Find the episode information for episode ID 70150654.,unnatural
gpt-4.1,unogsNG,Episodes,What are the details of the Netflix title 70153392?,unnatural
gpt-4.1,unogsNG,Episodes,Please provide the episodes for season ID 70051768.,unnatural
gpt-4.1,unogsNG,Episodes,I need information on episode 70150654.,unnatural
gpt-4.1,unogsNG,Deleted,"Show me all Netflix titles deleted after January 1, 2021.",natural
gpt-4.1,unogsNG,Deleted,"What titles were removed from Netflix in the US after March 15, 2022?",natural
gpt-4.1,unogsNG,Deleted,"List the first 10 titles deleted from Netflix globally after June 1, 2020.",unnatural
gpt-4.1,unogsNG,Deleted,"Find titles removed from Netflix in Canada after December 31, 2021.",natural
gpt-4.1,unogsNG,Deleted,"What are the Netflix titles deleted after February 1, 2023, in the UK?",natural
